epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.2198,1.93366,0.48352,0.93407,1.40007,0.000271882,0.000271882,0.000271882
2,137.709,1.16912,0.78022,1,0.68616,0.000531414,0.000531414,0.000531414
3,204.31,0.67737,0.86813,1,0.46125,0.000772619,0.000772619,0.000772619
4,270.249,0.43217,0.9011,1,0.32014,0.000750533,0.000750533,0.000750533
5,336.294,0.36111,0.87912,0.98901,0.35287,0.000723044,0.000723044,0.000723044
6,402.612,0.33004,0.84615,1,0.40672,0.000695555,0.000695555,0.000695555
7,469.453,0.2635,0.87912,1,0.3099,0.000668066,0.000668066,0.000668066
8,535.471,0.27191,0.87912,1,0.28586,0.000640577,0.000640577,0.000640577
9,603.713,0.17941,0.91209,1,0.25263,0.000613088,0.000613088,0.000613088
10,670.315,0.15309,0.87912,1,0.33552,0.000585599,0.000585599,0.000585599
11,736.753,0.21811,0.9011,1,0.26953,0.00055811,0.00055811,0.00055811
12,802.751,0.13004,0.92308,1,0.2355,0.000530621,0.000530621,0.000530621
13,869.749,0.14629,0.86813,0.98901,0.30579,0.000503132,0.000503132,0.000503132
14,936.083,0.1836,0.89011,0.98901,0.30583,0.000475643,0.000475643,0.000475643
15,1002.99,0.12336,0.87912,0.98901,0.31158,0.000448154,0.000448154,0.000448154
16,1070.02,0.16902,0.9011,1,0.27555,0.000420665,0.000420665,0.000420665
17,1136.28,0.12751,0.89011,0.98901,0.28042,0.000393176,0.000393176,0.000393176
18,1202.88,0.0867,0.87912,1,0.27381,0.000365687,0.000365687,0.000365687
19,1272.64,0.09247,0.89011,1,0.27556,0.000338198,0.000338198,0.000338198
20,1339.82,0.10627,0.89011,1,0.30321,0.000310709,0.000310709,0.000310709
21,1406.32,0.09823,0.9011,1,0.24399,0.00028322,0.00028322,0.00028322
22,1472.88,0.07412,0.89011,1,0.20237,0.000255731,0.000255731,0.000255731
23,1539.31,0.05266,0.92308,1,0.22458,0.000228242,0.000228242,0.000228242
24,1606.77,0.09417,0.9011,1,0.21287,0.000200753,0.000200753,0.000200753
25,1673.22,0.10383,0.9011,1,0.22689,0.000173264,0.000173264,0.000173264
26,1740.22,0.09762,0.87912,1,0.25357,0.000145775,0.000145775,0.000145775
27,1806.99,0.08011,0.89011,1,0.21561,0.000118286,0.000118286,0.000118286
28,1873.3,0.10951,0.9011,1,0.21421,9.0797e-05,9.0797e-05,9.0797e-05
29,1940.73,0.06726,0.91209,1,0.21151,6.3308e-05,6.3308e-05,6.3308e-05
30,2006.93,0.09519,0.9011,1,0.21166,3.5819e-05,3.5819e-05,3.5819e-05
